-0.48,0.6,0.89
2.56,-0.41,1.35
0.43,0.58,-0.7
1.09,2.21,-0.76
1.12,1.03,-1.12
0.27,0.51,-0.34
1.01,0.64,0.39
1.14,-0.22,-0.15
0.89,0.04,-0.44
-0.59,-0.15,-1.12
-0.85,0.44,-0.94
-0.18,-1,-1.5
0.61,-0.44,0.26
0.06,-0.04,0.35
0.17,-0.15,-0.13
0.76,1.64,1.88
0.41,0.47,-0.73
-0.44,1.56,-1.14
0.82,-0.16,-0.62
-0.06,1.62,-1.09
0.23,1.79,1
-0.87,0.6,0.28
-0.63,0.83,1.21
-0.5,-0.39,-0.45
-0.21,-1.68,-0.15
0.91,-1.5,-0.65
-1.75,0.2,0.05
-0.01,0.06,0.51
-0.19,-0.65,-0.16
0.77,1.02,-0.47
-0.99,0.23,2.53
-1.28,-0.7,-1.72
-0.19,-0.27,-0.78
0.01,0.45,2.94
0.58,1.09,0.18
-1.12,-2.06,1.46
-0.54,-0.09,-2.29
-1.56,-0.59,-1.22
-1.64,0.34,0.6
-0.61,-0.2,1.03
-0.36,0.57,-0.61
-0.24,0.77,-0.28
1.53,0.72,-0.35
-0.47,0.31,-0.8
-0.77,-0.96,0.87
-1,-0.43,-0.35
-0.56,-1.51,0.49
0.64,0,-1.05
0.04,0.22,-0.69
0.47,1.4,1.17
0.98,-0.43,0.76
-1.03,1.76,-1.11
0.02,0.11,-1.21
-1.31,0.34,-0.54
-0.02,1.69,-0.13
2.39,-0.89,2.51
-1.36,0.75,-1.02
1.26,1.98,-0.63
-1.96,-0.42,-1.13
-0.76,-2.57,-0.29
-0.31,-0.46,1.36
-1.27,-0.86,-0.52
-0.09,0.83,0.03
0.95,-1.47,0.89
-1.07,1.51,0.72
-0.46,-0.58,0.53
-0.89,0.76,0.11
-0.08,0.76,1.59
-0.83,-0.56,0.66
-0.12,-0.02,-1.06
1.6,-0.26,0.94
-0.39,1.2,0.54
0.22,1.43,0.12
-0.06,0.15,-0.16
-0.11,1.07,1.54
-1.44,-0.13,-1.68
-0.61,0.89,-0.33
0.28,-0.13,0.79
-0.09,-1.16,-0.12
-0.63,0.61,0.3
0.26,0.02,0.3
-0.32,-0.31,1.22
0.67,-0.08,0.85
-0.42,0.4,-0.66
-0.22,-0.86,-1.58
-0.14,-0.31,1
-0.09,-1.92,-0.65
-0.29,0.3,1.59
0.63,-1.47,-0.15
0.18,-1.41,-0.43
1.74,0.34,1.04
-0.45,0.9,-1.5
0.8,-0.78,-0.16
-1.2,-0.24,1.49
0.97,-0.34,-1.93
-0.37,1.28,-1.01
-0.01,-0.94,0.34
0.93,-0.39,0.89
-0.88,0.58,-0.21
-0.77,0,-0.49
