0.14,-0.84,-1.06
-0.44,-0.78,1.57
0,0.42,-0.41
-0.36,-0.93,0.31
-0.35,0.01,1.83
2.01,-1.12,1.68
-0.04,-0.29,-0.11
-0.06,-0.26,-1.5
-0.47,-1.75,0.48
-0.29,1.59,2.31
0.82,2.05,2.04
-2.67,-0.66,2.82
0.09,-0.37,-0.59
1.5,-0.67,-0.01
-0.43,0.21,-0.21
-0.62,-0.81,-1.01
-0.89,0.55,0.72
-1.08,0.32,-0.72
-1.34,0.31,0.32
1.29,-0.12,-0.45
0.58,1,0.2
-0.59,0.01,-0.66
0.2,0.04,-0.81
-1.44,-0.46,1
-0.59,1.98,0.34
-1.29,-0.84,-1.12
-1.85,1.81,1.04
-1.03,0.01,0.71
1.37,-0.44,-0.63
-0.97,-0.68,1.09
-1.18,0.25,-1.62
0.37,-0.52,-0.44
-0.82,-1.2,0.94
-3.41,-1.13,-0.64
0.2,-2.03,-0.32
0.04,0.9,-1.94
0.73,0.62,0.07
-1.44,-2.22,0.25
1.57,0.58,0.66
1.01,0.15,0.35
0.47,-2.27,-0.53
-0.98,-0.32,0.65
0.42,0.09,1.18
0.75,0.81,0.21
-1.98,-0.29,1.94
0.49,0.39,0.47
-0.2,-0.5,-0.45
-1.18,-0.28,-1.24
0.32,-0.27,-0.59
-0.91,-0.38,0.82
-1.07,0.52,0
-0.72,-0.3,-0.48
-0.78,0.94,0.72
-1.65,-0.55,-0.46
-0.44,-0.94,0
0.72,0.43,-0.32
-0.72,-0.9,0.49
-0.79,-1.02,-0.68
1.51,0.74,0.25
0.03,-1.47,0.05
-0.72,-0.99,1.44
-0.74,-0.89,-0.07
-0.67,1.81,-0.61
-0.03,-0.02,-0.2
0.66,0.24,0.2
-1.05,0.66,1.32
-1.16,0.32,1.48
-0.69,-0.03,0.18
-0.02,-0.85,-0.47
-0.95,-1.47,-1.77
0.97,0.84,-1.07
0.47,0.73,0.23
-1.53,-0.53,-1.26
0.83,0.23,0.23
1.02,0.84,-0.07
-0.15,0.63,-0.46
1.39,0.44,-0.75
-0.97,0.33,-2.2
-0.75,0.09,-0.84
-1.4,-0.25,-0.27
1.1,-1.98,-0.3
0.06,0.09,-0.7
0.2,1.45,1.24
0.44,1.21,-0.14
0.38,-1.25,-0.67
0.94,0.89,1.37
-0.2,-0.08,0.37
1.93,-1.94,-0.61
-0.41,-0.06,0.8
-1.58,0.68,-1.31
0,0.51,1.14
0.57,1.96,0.32
-1.33,-0.35,1.58
0.88,0.48,0
-0.69,-1.15,-0.72
0.33,0.16,0.39
0.26,1.34,0.72
-0.18,-0.5,1.05
-0.99,0.27,0.64
-1.87,-1.5,-1.17
