0.69,-1.02,-0.92
-0.05,1.43,0.17
1.13,1.34,-0.27
1.6,1.1,0.95
-0.77,-0.25,-0.42
-0.7,1.08,0.83
-2.21,0.12,-0.3
0.49,0.59,-0.16
-0.19,1.3,-1.35
1.2,0.23,0.13
0.06,-0.28,-2.17
-0.91,0.28,1.33
-2.25,0.08,-0.82
-0.05,0.26,0.71
0.14,1.13,-0.03
-0.27,-1.14,-0.72
-0.95,-1.43,0.94
0.85,-0.64,0.17
0.45,-0.86,-0.26
0.01,1.12,-0.67
-0.36,0.67,-0.68
1.52,-0.87,0.67
-1.66,-0.35,0.95
0.5,0.03,0.91
0.66,-1.07,-0.01
-0.98,-1.16,0
0.86,0.59,-0.48
-0.73,-1.43,-0.72
-0.41,-0.06,-0.27
0.68,-0.77,-1.36
-0.24,-1.16,0.33
-0.8,-1.77,-0.78
-1.6,0.24,-0.7
-1.32,-0.21,1.64
-0.69,0.24,0.48
0.92,-1.96,0.99
-0.31,0.93,-0.86
1.65,-0.16,1.32
-0.72,2.26,-0.23
-0.16,0.84,0.49
0.79,0.14,-1.26
2.16,-0.36,0.49
1.43,-0.25,0.27
0.84,-1.11,0.06
-0.1,-0.24,-0.88
0.58,0.67,0.02
-0.61,-0.82,0.95
-1.89,0.26,1.36
0.7,1.39,-0.83
0.78,-1.84,0.09
-0.63,-0.14,-0.67
0.63,-0.98,-0.89
0.41,1.16,1.59
0.32,0.54,-0.77
-1.87,-1.03,-2.39
-0.15,-0.88,-0.41
1.72,-0.76,1.11
0.59,-0.18,-0.99
-2.54,0.7,-0.94
0.42,-0.38,0.13
0.74,-1.45,0.82
-0.8,1.43,-0.65
0.21,0.03,1.65
-0.78,0.45,0.45
0.73,0.8,-1.03
-0.35,-2.9,-1.19
1.24,-0.21,0.04
1.21,0.72,-0.06
-0.08,0.97,-2.05
-1,0.1,-1.91
0.66,-0.87,0.31
1.35,0.22,0.55
-0.08,1.79,-1.99
0.96,0.52,-0.32
0.82,-0.18,0.24
0.36,-0.88,0.76
-0.5,-1.27,0.97
0.29,-1.51,1.17
-1.95,-0.9,0.55
-0.04,-0.12,1.29
0.08,1.07,-1.26
0.5,0.13,0.78
-0.03,0.24,-1.19
-0.52,-1,-1.12
1.11,0.2,-1.23
-0.31,1.43,-0.02
-0.56,2.84,0.14
0.64,-0.01,0.02
-0.15,1.01,-0.01
-0.36,0.25,-1.6
0.07,-0.81,-0.11
-0.27,1.63,0.55
-0.94,-0.15,0.47
0.36,0.55,-0.39
0.75,-2.05,-0.99
-2.5,2.04,-0.28
-0.12,-1.02,-2.09
0.44,-1.29,-0.7
-0.31,1.77,1.4
0.82,-0.67,0.5
